predicted=88192226.909; sterr=10.603; interval=(15946982.972, 414672464.578)
predicted=81373359.983; sterr=13.509; interval=(11909740.950, 454043222.798)
predicted=75323166.624; sterr=16.484; interval=(9197430.771, 485150195.167)
predicted=69939071.094; sterr=19.486; interval=(7290361.232, 509446397.987)
predicted=65134032.478; sterr=22.478; interval=(5902955.556, 528060831.925)
predicted=60833948.096; sterr=25.432; interval=(4866015.711, 541916004.417)
predicted=56975527.337; sterr=28.320; interval=(4073658.633, 551784327.035)
predicted=53504544.704; sterr=31.123; interval=(3456778.371, 558320114.530)
predicted=50374399.579; sterr=33.826; interval=(2968729.217, 562080504.907)
predicted=47544924.963; sterr=36.417; interval=(2577140.255, 563540719.245)
predicted=44981398.959; sterr=38.889; interval=(2259014.515, 563106063.766)
predicted=42653721.935; sterr=41.236; interval=(1997681.905, 561121821.875)
predicted=40535729.463; sterr=43.456; interval=(1780843.987, 557881628.411)
predicted=38604616.941; sterr=45.548; interval=(1599285.183, 553634660.417)
predicted=36840456.297; sterr=47.513; interval=(1446003.256, 548591853.771)
predicted=35225788.892; sterr=49.355; interval=(1315610.591, 542931291.651)
predicted=33745281.651; sterr=51.077; interval=(1203914.414, 536802876.580)
predicted=32385435.787; sterr=52.682; interval=(1107617.675, 530332377.686)
predicted=31134339.435; sterr=54.176; interval=(1024102.791, 523624931.494)
predicted=29981457.014; sterr=55.564; interval=(951273.188, 516768064.838)
predicted=28917449.416; sterr=56.852; interval=(887435.808, 509834300.445)
predicted=27934020.116; sterr=58.044; interval=(831212.996, 502883398.933)
predicted=27023783.152; sterr=59.147; interval=(781475.751, 495964284.771)
predicted=26180149.604; sterr=60.166; interval=(737292.666, 489116698.203)
predicted=25397229.734; sterr=61.106; interval=(697890.538, 482372610.115)
predicted=24669748.455; sterr=61.973; interval=(662623.709, 475757432.246)
predicted=23992972.138; sterr=62.772; interval=(630950.036, 469291051.058)
predicted=23362645.102; sterr=63.507; interval=(602411.903, 462988709.911)
predicted=22774934.393; sterr=64.182; interval=(576621.128, 456861760.958)
predicted=22226381.662; sterr=64.804; interval=(553246.876, 450918305.282)
predicted=21713861.155; sterr=65.374; interval=(532005.928, 445163737.281)
predicted=21234542.957; sterr=65.898; interval=(512654.799, 439601207.120)
predicted=20785860.776; sterr=66.379; interval=(494983.320, 434232013.098)
predicted=20365483.646; sterr=66.820; interval=(478809.374, 429055934.163)
predicted=19971291.039; sterr=67.224; interval=(463974.579, 424071511.328)
predicted=19601350.918; sterr=67.595; interval=(450340.709, 419276285.480)
predicted=19253900.367; sterr=67.934; interval=(437786.722, 414666998.037)
predicted=18927328.450; sterr=68.245; interval=(426206.288, 410239759.942)
predicted=18620161.027; sterr=68.529; interval=(415505.708, 405990193.701)
predicted=18331047.282; sterr=68.790; interval=(405602.176, 401913552.488)
predicted=18058747.737; sterr=69.028; interval=(396422.302, 398004819.749)
predicted=17802123.590; sterr=69.246; interval=(387900.866, 394258792.244)
