time,bits
2021-09-02 14:11:03,93976728
2021-09-02 14:12:03,163203744
2021-09-02 14:12:33,89591192
2021-09-02 14:13:03,151828552
2021-09-02 14:13:33,95153912
2021-09-02 14:14:03,70406728
2021-09-02 14:14:33,57658640
2021-09-02 14:15:03,42912072
2021-09-02 14:15:33,111112416
2021-09-02 14:16:03,93770688
2021-09-02 14:16:34,135585128
2021-09-02 14:17:33,173045400
2021-09-02 14:18:04,166503912
2021-09-02 14:18:33,107718936
2021-09-02 14:19:03,135713472
2021-09-02 14:19:33,137099304
2021-09-02 14:20:03,149965696
2021-09-02 14:20:33,88808536
2021-09-02 14:21:33,125315360
2021-09-02 14:22:03,91075176
2021-09-02 14:22:33,128507848
2021-09-02 14:23:03,174597168
2021-09-02 14:23:33,44337856
2021-09-02 14:24:03,76524584
2021-09-02 14:24:33,140479768
2021-09-02 14:25:03,130571360
2021-09-02 14:25:33,124247480
2021-09-02 14:26:33,134082472
2021-09-02 14:27:03,118379640
2021-09-02 14:27:33,80992984
2021-09-02 14:28:03,128470760
2021-09-02 14:28:33,100165968
2021-09-02 14:29:03,105068032
2021-09-02 14:29:33,90089752
2021-09-02 14:30:03,106858328
2021-09-02 14:30:33,94987688
2021-09-02 14:31:33,59239872
2021-09-02 14:32:03,120787704
2021-09-02 14:32:33,81227008
2021-09-02 14:33:03,49861576
2021-09-02 14:33:33,62242672
2021-09-02 14:34:03,135274968
2021-09-02 14:34:33,83994032
2021-09-02 14:35:03,75779064
2021-09-02 14:35:33,158743600
2021-09-02 14:36:03,143212248
2021-09-02 14:37:03,123318456
2021-09-02 14:37:33,102128848
2021-09-02 14:38:03,130294400
2021-09-02 14:38:33,94186928
2021-09-02 14:39:03,124383000
2021-09-02 14:39:33,95744576
2021-09-02 14:40:03,101496600
2021-09-02 14:40:33,82248552
2021-09-02 14:41:03,81017848
2021-09-02 14:41:33,160827968
2021-09-02 14:42:33,82116104
2021-09-02 14:43:03,68508808
2021-09-02 14:43:33,79091776
2021-09-02 14:44:03,63300128
2021-09-02 14:44:33,83962392
2021-09-02 14:45:03,121675616
2021-09-02 14:45:33,74903176
2021-09-02 14:46:03,55284736
2021-09-02 14:46:33,52952136
2021-09-02 14:47:03,101693352
2021-09-02 14:47:33,79056832
2021-09-02 14:48:03,92800504
2021-09-02 14:48:33,127194840
2021-09-02 14:49:33,113295768
2021-09-02 14:50:03,91084768
2021-09-02 14:50:33,98329168
2021-09-02 14:51:03,74071576
2021-09-02 14:51:33,119727712
2021-09-02 14:52:03,97276200
2021-09-02 14:52:34,113671632
2021-09-02 14:53:03,122290224
2021-09-02 14:53:33,88031216
2021-09-02 14:54:03,104085608
2021-09-02 14:55:03,70008216
2021-09-02 14:55:33,117845920
2021-09-02 14:56:03,160594696
2021-09-02 14:56:33,107461016
2021-09-02 14:57:03,111096864
2021-09-02 14:57:33,131043296
2021-09-02 14:58:03,109730416
2021-09-02 14:58:33,142605888
2021-09-02 14:59:33,149813088
2021-09-02 15:00:03,164300856
2021-09-02 15:00:33,116476632
2021-09-02 15:01:03,106059176
2021-09-02 15:01:33,120518432
2021-09-02 15:02:04,134879216
2021-09-02 15:02:33,144112464
2021-09-02 15:03:04,159242736
2021-09-02 15:04:03,229913896
2021-09-02 15:04:33,177427080
2021-09-02 15:05:03,156455376
2021-09-02 15:05:33,162043680
2021-09-02 15:06:03,269563544
2021-09-02 15:07:03,181700664
2021-09-02 15:07:33,152007272
2021-09-02 15:08:03,162222440
2021-09-02 15:08:33,88175640
2021-09-02 15:09:03,116826040
2021-09-02 15:09:33,76348464
2021-09-02 15:10:03,54182552
2021-09-02 15:10:33,90548096
2021-09-02 15:11:33,124414144
2021-09-02 15:12:03,160751320
2021-09-02 15:12:33,101946472
2021-09-02 15:13:03,165293824
2021-09-02 15:13:33,136047360
2021-09-02 15:14:04,110895208
2021-09-02 15:14:33,132677800
2021-09-02 15:15:03,122216584
2021-09-02 15:16:03,114612952
2021-09-02 15:16:33,100765160
2021-09-02 15:17:03,68605480
2021-09-02 15:17:33,100889208
2021-09-02 15:18:03,41447456
2021-09-02 15:18:33,92517328
2021-09-02 15:19:03,125561824
2021-09-02 15:19:33,184728304
2021-09-02 15:20:33,303016568
2021-09-02 15:21:03,187865016
2021-09-02 15:21:33,249998776
2021-09-02 15:22:03,161961784
2021-09-02 15:22:33,93678072
2021-09-02 15:23:33,170201536
2021-09-02 15:24:03,113594568
2021-09-02 15:24:33,157472616
2021-09-02 15:25:03,109091424
2021-09-02 15:25:33,79616664
2021-09-02 15:26:03,127237744
2021-09-02 15:26:33,194942736
2021-09-02 15:27:03,124847240
2021-09-02 15:28:04,54021992
2021-09-02 15:28:33,175361264
2021-09-02 15:29:03,116900288
2021-09-02 15:29:33,141321152
2021-09-02 15:30:03,94053832
2021-09-02 15:30:33,74004704
2021-09-02 15:31:03,120948232
2021-09-02 15:31:33,128105008
2021-09-02 15:32:03,130108656
2021-09-02 15:33:03,71429120
2021-09-02 15:33:33,65138008
2021-09-02 15:34:03,93058368
2021-09-02 15:34:33,71329280
2021-09-02 15:35:03,73459184
2021-09-02 15:35:33,85453592
2021-09-02 15:36:03,59212712
2021-09-02 15:36:33,144196616
2021-09-02 15:37:03,126452576
2021-09-02 15:37:33,162703176
2021-09-02 15:38:03,134552304
2021-09-02 15:39:03,98394408
2021-09-02 15:39:33,82093152
2021-09-02 15:40:03,52973280
2021-09-02 15:40:33,77885296
2021-09-02 15:41:03,85687344
2021-09-02 15:41:33,111479504
2021-09-02 15:42:03,95187552
2021-09-02 15:42:33,147185264
2021-09-02 15:43:03,134683168
2021-09-02 15:43:33,145492568
2021-09-02 15:44:33,108031576
2021-09-02 15:45:04,129784272
2021-09-02 15:45:33,146198944
2021-09-02 15:46:03,88687144
2021-09-02 15:46:33,83360992
2021-09-02 15:47:03,102483496
2021-09-02 15:47:33,79016240
2021-09-02 15:48:03,111436560
2021-09-02 15:48:33,115390344
2021-09-02 15:49:33,106144256
2021-09-02 15:50:03,54382592
2021-09-02 15:50:33,44299056
2021-09-02 15:51:03,70992816
2021-09-02 15:51:33,35256904
2021-09-02 15:52:03,57617472
2021-09-02 15:52:33,97196816
2021-09-02 15:53:03,82514704
2021-09-02 15:53:33,76226784
2021-09-02 15:54:03,144901040
2021-09-02 15:54:33,124737312
2021-09-02 15:55:03,136553592
2021-09-02 15:56:03,138531600
2021-09-02 15:56:33,92660648
2021-09-02 15:57:03,84602264
2021-09-02 15:57:33,93468008
2021-09-02 15:58:03,152810320
2021-09-02 15:58:33,83046312
2021-09-02 15:59:03,104888336
2021-09-02 15:59:33,115387536
2021-09-02 16:00:34,145426344
2021-09-02 16:01:03,101986872
2021-09-02 16:01:33,69156952
2021-09-02 16:02:04,102671680
2021-09-02 16:02:33,64834112
2021-09-02 16:03:04,69304368
2021-09-02 16:03:34,68878200
2021-09-02 16:04:03,50648944
2021-09-02 16:04:33,77060336
2021-09-02 16:05:03,73885936
2021-09-02 16:05:33,118680880
2021-09-02 16:06:03,137179000
2021-09-02 16:07:03,130512368
2021-09-02 16:07:33,120055576
2021-09-02 16:08:03,62821080
2021-09-02 16:08:33,61910696
2021-09-02 16:09:03,114192944
2021-09-02 16:09:33,101610528
2021-09-02 16:10:03,90900856
2021-09-02 16:10:33,104573440
2021-09-02 16:11:03,51238984
2021-09-02 16:11:33,70556808
2021-09-02 16:12:03,139165000
2021-09-02 16:13:03,55834632
2021-09-02 16:13:33,89900552
2021-09-02 16:14:03,85754424
2021-09-02 16:14:33,178306232
2021-09-02 16:15:03,152438512
2021-09-02 16:15:33,64885248
2021-09-02 16:16:03,60840032
2021-09-02 16:16:33,51077048
2021-09-02 16:17:04,149274872
2021-09-02 16:17:33,125841032
2021-09-02 16:18:33,119496472
2021-09-02 16:19:03,145082112
2021-09-02 16:19:34,143579136
2021-09-02 16:20:03,165044712
2021-09-02 16:20:33,171308248
2021-09-02 16:21:03,102888664
2021-09-02 16:21:33,149370072
