predicted=29133395.419; sterr=1.081; interval=(1971360.259, 7249848588.600)
predicted=25749603.653; sterr=1.086; interval=(1598717.489, 9581143168.436)
predicted=22933211.413; sterr=1.091; interval=(1332487.311, 11944403319.703)
predicted=20568662.987; sterr=1.095; interval=(1135055.274, 14167355680.750)
predicted=18567565.217; sterr=1.099; interval=(984236.597, 16102226962.676)
predicted=16861542.571; sterr=1.102; interval=(866204.429, 17644923188.747)
predicted=15397153.049; sterr=1.105; interval=(771951.495, 18742208684.502)
predicted=14132222.498; sterr=1.108; interval=(695393.046, 19388327904.176)
predicted=13033169.004; sterr=1.110; interval=(632291.488, 19614828160.728)
predicted=12073027.510; sterr=1.113; interval=(579618.069, 19477716350.530)
predicted=11229975.746; sterr=1.115; interval=(535159.007, 19045173961.937)
predicted=10486223.207; sterr=1.116; interval=(497264.249, 18387690709.098)
predicted=9827165.869; sterr=1.118; interval=(464682.549, 17571253089.274)
predicted=9240737.396; sterr=1.119; interval=(436450.442, 16653401618.269)
predicted=8716907.005; sterr=1.121; interval=(411815.820, 15681561672.321)
predicted=8247287.799; sterr=1.122; interval=(390184.279, 14692949892.277)
predicted=7824828.981; sterr=1.123; interval=(371080.777, 13715430812.765)
predicted=7443572.302; sterr=1.124; interval=(354121.781, 12768843210.189)
predicted=7098458.046; sterr=1.125; interval=(338994.750, 11866468128.202)
predicted=6785169.514; sterr=1.126; interval=(325442.813, 11016439218.260)
