Data Hora,QtdBites
2021-09-02 20:43:03,4904968
2021-09-02 20:43:33,2164232
2021-09-02 20:44:03,52349320
2021-09-02 20:44:33,1599104
2021-09-02 20:45:03,119271440
2021-09-02 20:45:33,25320912
2021-09-02 20:46:03,4622200
2021-09-02 20:46:33,56826176
2021-09-02 20:47:04,78601648
2021-09-02 20:47:33,7050056
2021-09-02 20:48:03,9608616
2021-09-02 20:48:33,17785944
2021-09-02 20:49:03,24228760
2021-09-02 20:49:33,4992176
2021-09-02 20:50:03,1527760
2021-09-02 20:50:33,1486056
2021-09-02 20:51:03,28922840
2021-09-02 20:51:33,32060216
2021-09-02 20:52:03,42496896
2021-09-02 20:52:33,5620296
2021-09-02 20:53:03,1343536
2021-09-02 20:53:33,22993488
2021-09-02 20:54:03,2544152
2021-09-02 20:54:33,2044400
2021-09-02 20:55:03,1850816
2021-09-02 20:55:33,2267712
2021-09-02 20:56:03,2341632
2021-09-02 20:56:33,1029192
2021-09-02 20:57:03,747200
2021-09-02 20:57:33,10494480
2021-09-02 20:58:03,1718552
2021-09-02 20:58:33,2915712
2021-09-02 20:59:03,751064
2021-09-02 20:59:33,880312
2021-09-02 21:00:03,510392
2021-09-02 21:00:33,1114288
2021-09-02 21:01:03,708960
2021-09-02 21:01:33,1159576
2021-09-02 21:02:04,672320
2021-09-02 21:02:33,5948928
2021-09-02 21:03:03,994984
2021-09-02 21:04:03,1033840
2021-09-02 21:04:33,1717232
2021-09-02 21:05:03,8800616
2021-09-02 21:05:33,2374976
2021-09-02 21:06:03,1224440
2021-09-02 21:06:33,7760800
2021-09-02 21:07:03,903880
2021-09-02 21:07:33,7922168
2021-09-02 21:08:04,5555496
2021-09-02 21:08:33,990880
2021-09-02 21:09:03,1014440
2021-09-02 21:09:33,1185720
2021-09-02 21:10:03,4280480
2021-09-02 21:10:33,4417512
2021-09-02 21:11:03,641296
2021-09-02 21:11:33,8663760
2021-09-02 21:12:03,1421320
2021-09-02 21:12:33,27858392
2021-09-02 21:13:04,16293952
2021-09-02 21:13:33,25482216
2021-09-02 21:14:03,1354896
2021-09-02 21:14:33,1298616
2021-09-02 21:15:03,25492400
2021-09-02 21:15:33,201845080
2021-09-02 21:16:03,82660184
2021-09-02 21:16:33,5859656
2021-09-02 21:17:03,1613632
2021-09-02 21:17:33,11900880
2021-09-02 21:18:03,2526696
2021-09-02 21:18:33,1843680
2021-09-02 21:19:04,648816
