Data;Hora;NDeSerie;QtdBites
20-09-2021;15:13:33;1632161613;127371504
20-09-2021;15:13:03;1632161583;79619216
20-09-2021;15:12:33;1632161553;65983776
20-09-2021;15:12:03;1632161523;98913568
20-09-2021;15:11:33;1632161493;142768752
20-09-2021;15:11:03;1632161463;128789408
20-09-2021;15:10:33;1632161433;148666728
20-09-2021;15:10:03;1632161403;76068536
20-09-2021;15:09:33;1632161373;137914424
20-09-2021;15:08:33;1632161313;290632920
20-09-2021;15:08:03;1632161283;273046072
20-09-2021;15:07:33;1632161253;263413792
20-09-2021;15:06:33;1632161193;233674816
20-09-2021;15:06:03;1632161163;227024976
20-09-2021;15:05:33;1632161133;200266208
20-09-2021;15:05:03;1632161103;220008688
20-09-2021;15:04:33;1632161073;238912096
20-09-2021;15:03:33;1632161013;236596040
20-09-2021;15:03:03;1632160983;212910488
20-09-2021;15:02:33;1632160953;89574176
20-09-2021;15:02:04;1632160924;103971248
20-09-2021;15:01:34;1632160894;169986664
20-09-2021;15:00:33;1632160833;230886232
20-09-2021;15:00:03;1632160803;75174144
20-09-2021;14:59:33;1632160773;113554648
20-09-2021;14:59:03;1632160743;85837928
20-09-2021;14:58:33;1632160713;201458320
20-09-2021;14:58:03;1632160683;184401352
20-09-2021;14:57:03;1632160623;149395568
20-09-2021;14:56:33;1632160593;188253008
20-09-2021;14:56:03;1632160563;119047944
20-09-2021;14:55:34;1632160534;136793712
20-09-2021;14:55:03;1632160503;172723704
20-09-2021;14:54:33;1632160473;94136960
20-09-2021;14:54:03;1632160443;196007024
20-09-2021;14:53:03;1632160383;328294536
20-09-2021;14:52:33;1632160353;263344440
20-09-2021;14:52:03;1632160323;247029048
20-09-2021;14:51:33;1632160293;157647800
20-09-2021;14:50:33;1632160233;199040488
20-09-2021;14:50:03;1632160203;226524416
20-09-2021;14:49:33;1632160173;289534168
20-09-2021;14:49:03;1632160143;223383160
20-09-2021;14:48:03;1632160083;225068456
20-09-2021;14:47:33;1632160053;160921944
20-09-2021;14:47:03;1632160023;163099544
20-09-2021;14:46:33;1632159993;265629560
